Index: 60, Predicted: T-shirt/top
Index: 76, Predicted: Dress
Index: 93, Predicted: T-shirt/top
Index: 95, Predicted: Pullover
Index: 158, Predicted: T-shirt/top
Index: 162, Predicted: T-shirt/top
Index: 166, Predicted: T-shirt/top
Index: 188, Predicted: Dress
Index: 225, Predicted: T-shirt/top
Index: 259, Predicted: Coat
Index: 269, Predicted: Coat
Index: 273, Predicted: Pullover
Index: 283, Predicted: Coat
Index: 284, Predicted: Coat
Index: 319, Predicted: Coat
Index: 330, Predicted: Pullover
Index: 331, Predicted: T-shirt/top
Index: 341, Predicted: Coat
Index: 373, Predicted: Pullover
Index: 477, Predicted: Pullover
Index: 486, Predicted: Pullover
Index: 504, Predicted: Pullover
Index: 596, Predicted: Bag
Index: 651, Predicted: T-shirt/top
Index: 707, Predicted: Pullover
Index: 709, Predicted: T-shirt/top
Index: 733, Predicted: Pullover
Index: 747, Predicted: Dress
Index: 771, Predicted: Pullover
Index: 786, Predicted: Coat
Index: 794, Predicted: T-shirt/top
Index: 797, Predicted: Coat
Index: 821, Predicted: Pullover
Index: 826, Predicted: Pullover
Index: 836, Predicted: Pullover
Index: 844, Predicted: Dress
Index: 875, Predicted: T-shirt/top
Index: 920, Predicted: Coat
Index: 927, Predicted: Dress
Index: 935, Predicted: T-shirt/top
Index: 947, Predicted: T-shirt/top
Index: 985, Predicted: T-shirt/top
Index: 994, Predicted: T-shirt/top
Index: 1000, Predicted: T-shirt/top
Index: 1002, Predicted: Pullover
Index: 1016, Predicted: Coat
Index: 1023, Predicted: T-shirt/top
Index: 1038, Predicted: T-shirt/top
Index: 1093, Predicted: T-shirt/top
Index: 1106, Predicted: Bag
Index: 1113, Predicted: Dress
Index: 1114, Predicted: Dress
Index: 1138, Predicted: Coat
Index: 1218, Predicted: Coat
Index: 1220, Predicted: Pullover
Index: 1320, Predicted: Pullover
Index: 1326, Predicted: T-shirt/top
Index: 1347, Predicted: Dress
Index: 1376, Predicted: T-shirt/top
Index: 1437, Predicted: T-shirt/top
Index: 1501, Predicted: T-shirt/top
Index: 1512, Predicted: T-shirt/top
Index: 1530, Predicted: T-shirt/top
Index: 1533, Predicted: Coat
Index: 1542, Predicted: Trouser
Index: 1556, Predicted: Dress
Index: 1580, Predicted: Dress
Index: 1585, Predicted: Dress
Index: 1658, Predicted: T-shirt/top
Index: 1670, Predicted: Pullover
Index: 1715, Predicted: T-shirt/top
Index: 1719, Predicted: T-shirt/top
Index: 1736, Predicted: T-shirt/top
Index: 1830, Predicted: T-shirt/top
Index: 1831, Predicted: T-shirt/top
Index: 1859, Predicted: Coat
Index: 1869, Predicted: Pullover
Index: 1901, Predicted: T-shirt/top
Index: 1919, Predicted: T-shirt/top
Index: 1937, Predicted: Pullover
Index: 2012, Predicted: Pullover
Index: 2045, Predicted: Coat
Index: 2059, Predicted: T-shirt/top
Index: 2105, Predicted: Pullover
Index: 2115, Predicted: Coat
Index: 2120, Predicted: Coat
Index: 2138, Predicted: Dress
Index: 2172, Predicted: T-shirt/top
Index: 2174, Predicted: T-shirt/top
Index: 2195, Predicted: Pullover
Index: 2228, Predicted: T-shirt/top
Index: 2258, Predicted: Pullover
Index: 2285, Predicted: Coat
Index: 2345, Predicted: T-shirt/top
Index: 2377, Predicted: T-shirt/top
Index: 2447, Predicted: Bag
Index: 2470, Predicted: Dress
Index: 2475, Predicted: Dress
Index: 2484, Predicted: Dress
Index: 2496, Predicted: T-shirt/top
Index: 2518, Predicted: T-shirt/top
Index: 2541, Predicted: T-shirt/top
Index: 2564, Predicted: Pullover
Index: 2609, Predicted: T-shirt/top
Index: 2620, Predicted: T-shirt/top
Index: 2632, Predicted: T-shirt/top
Index: 2645, Predicted: T-shirt/top
Index: 2679, Predicted: T-shirt/top
Index: 2681, Predicted: Coat
Index: 2695, Predicted: Coat
Index: 2731, Predicted: Coat
Index: 2739, Predicted: T-shirt/top
Index: 2801, Predicted: Pullover
Index: 2862, Predicted: Pullover
Index: 2925, Predicted: T-shirt/top
Index: 2926, Predicted: Coat
Index: 3001, Predicted: Pullover
Index: 3006, Predicted: Coat
Index: 3013, Predicted: T-shirt/top
Index: 3019, Predicted: Pullover
Index: 3036, Predicted: Coat
Index: 3057, Predicted: Bag
Index: 3065, Predicted: T-shirt/top
Index: 3072, Predicted: T-shirt/top
Index: 3127, Predicted: Pullover
Index: 3131, Predicted: T-shirt/top
Index: 3132, Predicted: Pullover
Index: 3162, Predicted: T-shirt/top
Index: 3182, Predicted: T-shirt/top
Index: 3185, Predicted: Dress
Index: 3187, Predicted: T-shirt/top
Index: 3191, Predicted: Coat
Index: 3209, Predicted: T-shirt/top
Index: 3216, Predicted: T-shirt/top
Index: 3237, Predicted: Dress
Index: 3242, Predicted: Pullover
Index: 3295, Predicted: Pullover
Index: 3346, Predicted: T-shirt/top
Index: 3359, Predicted: Coat
Index: 3447, Predicted: T-shirt/top
Index: 3476, Predicted: Pullover
Index: 3487, Predicted: Dress
Index: 3522, Predicted: Coat
Index: 3547, Predicted: T-shirt/top
Index: 3565, Predicted: T-shirt/top
Index: 3582, Predicted: Pullover
Index: 3597, Predicted: Dress
Index: 3682, Predicted: T-shirt/top
Index: 3713, Predicted: T-shirt/top
Index: 3792, Predicted: Coat
Index: 3797, Predicted: T-shirt/top
Index: 3799, Predicted: T-shirt/top
Index: 3819, Predicted: Coat
Index: 3855, Predicted: Pullover
Index: 3882, Predicted: T-shirt/top
Index: 3884, Predicted: Pullover
Index: 3928, Predicted: T-shirt/top
Index: 3943, Predicted: Bag
Index: 3983, Predicted: T-shirt/top
Index: 4033, Predicted: T-shirt/top
Index: 4041, Predicted: Pullover
Index: 4065, Predicted: Coat
Index: 4077, Predicted: Coat
Index: 4093, Predicted: Pullover
Index: 4118, Predicted: Dress
Index: 4193, Predicted: T-shirt/top
Index: 4208, Predicted: T-shirt/top
Index: 4215, Predicted: Pullover
Index: 4227, Predicted: T-shirt/top
Index: 4249, Predicted: T-shirt/top
Index: 4271, Predicted: T-shirt/top
Index: 4329, Predicted: T-shirt/top
Index: 4386, Predicted: Bag
Index: 4389, Predicted: Pullover
Index: 4461, Predicted: T-shirt/top
Index: 4474, Predicted: Coat
Index: 4481, Predicted: T-shirt/top
Index: 4482, Predicted: Coat
Index: 4536, Predicted: T-shirt/top
Index: 4539, Predicted: Pullover
Index: 4559, Predicted: T-shirt/top
Index: 4577, Predicted: Coat
Index: 4583, Predicted: T-shirt/top
Index: 4601, Predicted: T-shirt/top
Index: 4605, Predicted: Coat
Index: 4632, Predicted: Coat
Index: 4645, Predicted: Coat
Index: 4657, Predicted: T-shirt/top
Index: 4673, Predicted: T-shirt/top
Index: 4677, Predicted: T-shirt/top
Index: 4698, Predicted: T-shirt/top
Index: 4703, Predicted: Bag
Index: 4706, Predicted: Dress
Index: 4772, Predicted: Pullover
Index: 4777, Predicted: Pullover
Index: 4876, Predicted: T-shirt/top
Index: 4895, Predicted: Coat
Index: 4909, Predicted: T-shirt/top
Index: 4958, Predicted: T-shirt/top
Index: 4964, Predicted: Dress
Index: 5000, Predicted: T-shirt/top
Index: 5002, Predicted: Pullover
Index: 5012, Predicted: T-shirt/top
Index: 5039, Predicted: Pullover
Index: 5096, Predicted: Coat
Index: 5183, Predicted: T-shirt/top
Index: 5207, Predicted: Coat
Index: 5227, Predicted: Pullover
Index: 5296, Predicted: Pullover
Index: 5304, Predicted: Coat
Index: 5316, Predicted: Coat
Index: 5328, Predicted: T-shirt/top
Index: 5335, Predicted: T-shirt/top
Index: 5339, Predicted: T-shirt/top
Index: 5402, Predicted: T-shirt/top
Index: 5469, Predicted: T-shirt/top
Index: 5521, Predicted: Coat
Index: 5543, Predicted: Coat
Index: 5605, Predicted: Coat
Index: 5612, Predicted: Coat
Index: 5617, Predicted: Coat
Index: 5626, Predicted: Pullover
Index: 5639, Predicted: Coat
Index: 5689, Predicted: T-shirt/top
Index: 5711, Predicted: Coat
Index: 5755, Predicted: Pullover
Index: 5844, Predicted: Bag
Index: 5847, Predicted: Coat
Index: 5894, Predicted: Coat
Index: 5896, Predicted: Pullover
Index: 5906, Predicted: Coat
Index: 5914, Predicted: T-shirt/top
Index: 5961, Predicted: T-shirt/top
Index: 5979, Predicted: T-shirt/top
Index: 5989, Predicted: Pullover
Index: 6045, Predicted: Pullover
Index: 6048, Predicted: Bag
Index: 6056, Predicted: T-shirt/top
Index: 6072, Predicted: T-shirt/top
Index: 6083, Predicted: T-shirt/top
Index: 6084, Predicted: T-shirt/top
Index: 6086, Predicted: T-shirt/top
Index: 6143, Predicted: Pullover
Index: 6176, Predicted: T-shirt/top
Index: 6177, Predicted: Coat
Index: 6181, Predicted: T-shirt/top
Index: 6192, Predicted: Pullover
Index: 6211, Predicted: T-shirt/top
Index: 6219, Predicted: T-shirt/top
Index: 6248, Predicted: T-shirt/top
Index: 6318, Predicted: Pullover
Index: 6336, Predicted: T-shirt/top
Index: 6359, Predicted: Pullover
Index: 6387, Predicted: Pullover
Index: 6412, Predicted: Pullover
Index: 6435, Predicted: Coat
Index: 6479, Predicted: Bag
Index: 6496, Predicted: T-shirt/top
Index: 6555, Predicted: Coat
Index: 6561, Predicted: Dress
Index: 6564, Predicted: Pullover
Index: 6567, Predicted: T-shirt/top
Index: 6578, Predicted: T-shirt/top
Index: 6610, Predicted: Coat
Index: 6623, Predicted: T-shirt/top
Index: 6644, Predicted: Dress
Index: 6674, Predicted: T-shirt/top
Index: 6743, Predicted: Dress
Index: 6792, Predicted: T-shirt/top
Index: 6821, Predicted: Trouser
Index: 6831, Predicted: T-shirt/top
Index: 6858, Predicted: Pullover
Index: 6890, Predicted: T-shirt/top
Index: 6907, Predicted: T-shirt/top
Index: 6967, Predicted: Coat
Index: 6977, Predicted: T-shirt/top
Index: 7054, Predicted: Coat
Index: 7068, Predicted: T-shirt/top
Index: 7072, Predicted: Pullover
Index: 7107, Predicted: Pullover
